"","X","value","date","station","datatype","day","hour"
"224","2016-08-07 00:00:00",84,2016-08-06 20:00:00,"KTPA","Forecast",2016-08-06,20
"225","2016-08-07 01:00:00",83,2016-08-06 21:00:00,"KTPA","Forecast",2016-08-06,21
"226","2016-08-07 02:00:00",82,2016-08-06 22:00:00,"KTPA","Forecast",2016-08-06,22
"227","2016-08-07 03:00:00",82,2016-08-06 23:00:00,"KTPA","Forecast",2016-08-06,23
"228","2016-08-07 04:00:00",81,2016-08-07 00:00:00,"KTPA","Forecast",2016-08-07,0
"229","2016-08-07 05:00:00",81,2016-08-07 01:00:00,"KTPA","Forecast",2016-08-07,1
"230","2016-08-07 06:00:00",81,2016-08-07 02:00:00,"KTPA","Forecast",2016-08-07,2
"231","2016-08-07 07:00:00",80,2016-08-07 03:00:00,"KTPA","Forecast",2016-08-07,3
"232","2016-08-07 08:00:00",80,2016-08-07 04:00:00,"KTPA","Forecast",2016-08-07,4
"233","2016-08-07 09:00:00",80,2016-08-07 05:00:00,"KTPA","Forecast",2016-08-07,5
"234","2016-08-07 10:00:00",80,2016-08-07 06:00:00,"KTPA","Forecast",2016-08-07,6
"235","2016-08-07 11:00:00",80,2016-08-07 07:00:00,"KTPA","Forecast",2016-08-07,7
"236","2016-08-07 12:00:00",81,2016-08-07 08:00:00,"KTPA","Forecast",2016-08-07,8
"237","2016-08-07 13:00:00",84,2016-08-07 09:00:00,"KTPA","Forecast",2016-08-07,9
"238","2016-08-07 14:00:00",85,2016-08-07 10:00:00,"KTPA","Forecast",2016-08-07,10
"239","2016-08-07 15:00:00",87,2016-08-07 11:00:00,"KTPA","Forecast",2016-08-07,11
"240","2016-08-07 16:00:00",88,2016-08-07 12:00:00,"KTPA","Forecast",2016-08-07,12
"241","2016-07-28 17:00:00",74,2016-07-28 13:00:00,"KPIT","Forecast",2016-07-28,13
"242","2016-07-28 18:00:00",74,2016-07-28 14:00:00,"KPIT","Forecast",2016-07-28,14
"243","2016-07-28 19:00:00",74,2016-07-28 15:00:00,"KPIT","Forecast",2016-07-28,15
"244","2016-07-28 20:00:00",75,2016-07-28 16:00:00,"KPIT","Forecast",2016-07-28,16
"245","2016-07-28 21:00:00",74,2016-07-28 17:00:00,"KPIT","Forecast",2016-07-28,17
"246","2016-07-28 22:00:00",74,2016-07-28 18:00:00,"KPIT","Forecast",2016-07-28,18
"247","2016-07-28 23:00:00",75,2016-07-28 19:00:00,"KPIT","Forecast",2016-07-28,19
"248","2016-07-29 00:00:00",73,2016-07-28 20:00:00,"KPIT","Forecast",2016-07-28,20
"249","2016-07-29 01:00:00",72,2016-07-28 21:00:00,"KPIT","Forecast",2016-07-28,21
"250","2016-07-29 02:00:00",72,2016-07-28 22:00:00,"KPIT","Forecast",2016-07-28,22
"251","2016-07-29 03:00:00",71,2016-07-28 23:00:00,"KPIT","Forecast",2016-07-28,23
"252","2016-07-29 04:00:00",71,2016-07-29 00:00:00,"KPIT","Forecast",2016-07-29,0
